id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,ERROR: No module named 'rank_bm25',Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,1,"The answer mentions an error related to a missing module 'rank_bm25', which is not referenced in the provided chunks, indicating significant information not grounded in the context.",1,The answer does not address the question about the SLA for P1 tickets at all.,0,Retrieved: 0/1 expected sources. Missing: ['support/sla-p1-2026.pdf'],1,"Model answer does not provide any relevant information regarding the SLA for ticket P1. | Missing: ['SLA phản hồi ban đầu 15 phút', 'thời gian xử lý 4 giờ']",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,ERROR: No module named 'rank_bm25',Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,1,"The answer mentions an error related to a missing module 'rank_bm25', which is not referenced in the provided chunks, indicating significant information not present in the context.",1,The answer does not address the question about the refund request timeframe at all.,0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],1,"The model answer does not address the question at all and instead reports an error. | Missing: ['thời gian yêu cầu hoàn tiền', 'thời điểm xác nhận đơn hàng']",variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,ERROR: No module named 'rank_bm25',"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question about who must approve Level 3 access; it instead contains an error message related to a missing module.,0,Retrieved: 0/1 expected sources. Missing: ['it/access-control-sop.md'],1,"The model answer does not address any of the key points from the expected answer. | Missing: ['Line Manager', 'IT Admin', 'IT Security']",variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,ERROR: No module named 'rank_bm25',"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",1,"The answer mentions an error related to a missing module 'rank_bm25', which is not present in the provided context, indicating significant information not grounded in the context.",1,The answer does not address the question about the refund policy for digital products at all.,0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],1,"The model answer does not address the question about digital products and their refund policy at all. | Missing: ['Sản phẩm kỹ thuật số không được hoàn tiền', 'Chính sách hoàn tiền', 'Danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ']",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,ERROR: No module named 'rank_bm25',Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question about account lockout after failed login attempts.,0,Retrieved: 0/1 expected sources. Missing: ['support/helpdesk-faq.md'],1,"Model answer does not address the question and provides an error message instead of relevant information. | Missing: ['số lần đăng nhập sai', 'thông tin về việc tài khoản bị khóa']",variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,ERROR: No module named 'rank_bm25',Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question about the escalation process in a P1 incident at all.,0,Retrieved: 0/1 expected sources. Missing: ['support/sla-p1-2026.pdf'],1,"Model answer does not address the question and provides an error message instead of relevant information. | Missing: ['Ticket P1 tự động escalate lên Senior Engineer', 'không có phản hồi trong 10 phút', 'sau khi tạo ticket']",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,ERROR: No module named 'rank_bm25',Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question about the Approval Matrix for system permissions at all.,0,Retrieved: 0/1 expected sources. Missing: ['it/access-control-sop.md'],1,"The model answer does not address the question and fails to provide any relevant information about the Approval Matrix or its new name. | Missing: ['The name of the document is not mentioned', 'The new name of the document is not provided']",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,ERROR: No module named 'rank_bm25',"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question about the maximum number of remote work days per week.,0,Retrieved: 0/1 expected sources. Missing: ['hr/leave-policy-2026.pdf'],1,"The model answer does not address any of the key points from the expected answer. | Missing: ['Remote work policy after probation period', 'Maximum of 2 days per week', 'Approval from Team Lead']",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,ERROR: No module named 'rank_bm25',"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question about ERR-403-AUTH and instead mentions a different error related to a missing module.,,No expected sources,1,"Model answer does not address the question about ERR-403-AUTH and provides an unrelated error message. | Missing: ['Thông tin về ERR-403-AUTH', 'Lỗi liên quan đến xác thực', 'Liên hệ IT Helpdesk']",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",ERROR: No module named 'rank_bm25',"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question at all and instead contains an error message unrelated to the topic.,0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],1,"The model answer does not address the question about the refund process for VIP customers and fails to provide any relevant information from the expected answer. | Missing: ['No mention of the refund policy for VIP customers', 'No information about the standard refund process of 3-5 working days']",variant_hybrid_rerank
