id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,ERROR: No module named 'rank_bm25',"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",1,"The answer mentions an error related to a missing module 'rank_bm25', which is not present in the provided context, indicating significant information not grounded in the context.",1,The answer does not address the question about changes in SLA for P1 tickets and instead mentions an error related to a missing module.,0,Retrieved: 0/1 expected sources. Missing: ['support/sla-p1-2026.pdf'],1,"Model answer does not address any of the key points from the expected answer. | Missing: ['SLA P1 resolution thời gian đã thay đổi từ 6 giờ xuống còn 4 giờ', 'Thông tin về phiên bản hiện tại (v2026.1) và ngày có hiệu lực (2026-01-15)', 'Thông tin về phiên bản trước (v2025.3) không thay đổi SLA này']",variant_hybrid_rerank
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",ERROR: No module named 'rank_bm25',"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question about the maximum number of devices that can be connected using VPN while working remotely.,0,"Retrieved: 0/2 expected sources. Missing: ['hr/leave-policy-2026.pdf', 'support/helpdesk-faq.md']",1,"Model answer does not address any of the key points from the expected answer. | Missing: ['VPN là bắt buộc khi làm việc remote', 'Phần mềm VPN là Cisco AnyConnect', 'Mỗi tài khoản được kết nối trên tối đa 2 thiết bị cùng lúc']",variant_hybrid_rerank
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,ERROR: No module named 'rank_bm25',Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question at all and instead contains an error message unrelated to the inquiry.,0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],1,"The model answer does not address the question and fails to provide any relevant information. | Missing: ['Không được hoàn tiền', 'Đơn hàng áp dụng mã giảm giá chương trình Flash Sale', 'Sản phẩm đã được kích hoạt', 'Ngoại lệ không được hoàn tiền theo Điều 3 của chính sách']",variant_hybrid_rerank
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?",ERROR: No module named 'rank_bm25',"Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question at all and instead contains an error message unrelated to the inquiry.,0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],1,"The model answer does not address the question at all and instead shows an error message. | Missing: ['Percentage of store credit compared to original amount', 'Optional nature of the choice']",variant_hybrid_rerank
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?",ERROR: No module named 'rank_bm25',"Có. Theo Access Control SOP, quy trình áp dụng cho cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",1,"The answer mentions an error related to a missing module 'rank_bm25', which is not present in the provided context, indicating significant information not grounded in the context.",1,The answer does not address the question at all and instead contains an error message unrelated to the inquiry.,0,Retrieved: 0/1 expected sources. Missing: ['it/access-control-sop.md'],1,"Model answer does not address any of the key points from the expected answer. | Missing: ['Contractor có thể được cấp quyền Admin Access', 'Quy trình áp dụng cho cả nhân viên, contractor và third-party vendor', 'Cần phê duyệt từ IT Manager và CISO', 'Thời gian xử lý 5 ngày làm việc', 'Yêu cầu training bắt buộc về security policy']",variant_hybrid_rerank
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?",ERROR: No module named 'rank_bm25',"On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question at all and instead contains an error message unrelated to the query.,0,"Retrieved: 0/2 expected sources. Missing: ['it/access-control-sop.md', 'support/sla-p1-2026.pdf']",1,"Model answer does not address any of the key points from the expected answer. | Missing: ['Quy trình cấp quyền tạm thời', 'Thời gian tồn tại của quyền tạm thời', 'Yêu cầu phê duyệt từ Tech Lead', 'Yêu cầu ticket chính thức sau 24 giờ', 'Ghi log vào hệ thống Security Audit', 'Thông tin liên hệ on-call']",variant_hybrid_rerank
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,ERROR: No module named 'rank_bm25',"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,"The answer references a specific error message about a missing module, which is not present in the provided context. This indicates significant information not grounded in the context.",1,The answer does not address the question about the penalty for violating SLA P1; it instead contains an error message unrelated to the question.,,No expected sources,1,"The model answer does not address the question about penalties for SLA P1 violations and fails to provide any relevant information from the expected answer. | Missing: ['No mention of the absence of penalty clauses', 'No reference to the specific document (sla-p1-2026.pdf)', 'No description of the SLA target or processing procedures']",variant_hybrid_rerank
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,ERROR: No module named 'rank_bm25',Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,1,"The answer mentions an error related to a missing module 'rank_bm25', which is not present in the provided context, indicating significant information not grounded in the context.",1,The answer does not address the question at all and instead contains an error message unrelated to the inquiry.,0,Retrieved: 0/1 expected sources. Missing: ['hr/leave-policy-2026.pdf'],1,"Model answer does not address the question and provides an error message instead. | Missing: ['Thời gian báo trước khi xin nghỉ phép năm', 'Yêu cầu giấy tờ y tế khi nghỉ ốm', 'Sự khác biệt giữa hai tình huống nghỉ phép năm và nghỉ ốm']",variant_hybrid_rerank
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?",ERROR: No module named 'rank_bm25',"Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",1,"The answer mentions an error related to a missing module 'rank_bm25', which is not present in the provided context, indicating significant information not grounded in the context.",1,The answer does not address the question at all and instead contains an error message unrelated to the inquiry about password change policies.,0,Retrieved: 0/1 expected sources. Missing: ['support/helpdesk-faq.md'],1,"Model answer does not address any of the key points from the expected answer. | Missing: ['Mật khẩu cần đổi định kỳ', 'Thời gian đổi mật khẩu (90 ngày)', 'Thời gian nhắc nhở (7 ngày trước)', 'Địa chỉ đổi mật khẩu (https://sso.company.internal/reset)', 'Thông tin liên hệ Helpdesk (ext. 9000)']",variant_hybrid_rerank
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,ERROR: No module named 'rank_bm25',Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày này. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,"The answer directly addresses the error message regarding the missing module 'rank_bm25', which is relevant to the context provided.",1,The answer does not address the question at all and instead contains an error message unrelated to the inquiry about the refund policy.,0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],1,"The model answer does not address the question and fails to provide any relevant information regarding the refund policy. | Missing: ['Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026', 'Chỉ áp dụng cho các đơn hàng được đặt kể từ ngày 01/02/2026', 'Các đơn hàng đặt trước ngày 01/02/2026 sẽ áp dụng theo chính sách hoàn tiền phiên bản 3']",variant_hybrid_rerank
